Year,CategoryName,BudgetMonth,BudgetYear,ActualYear,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Comment
2025,Association ,138,1656,,138,138,138,138,138,138,138,138,138,138,138,138,
2025,Utilities,200,2400,,116.7,127.65,136.5,118.6,119.06,121.72,170.54,223.32,228.97,221.8,151.12,121.26,
2025,Trash,22,264,,22,22,22,25.53,25.53,31.11,,13.7,19.85,19.85,19.85,19.85,
2025,Property Taxes ,,3500,3469.26,,,,,,,,,,,,,
2025,Insurance ,,550,574.67,,,,,,,,,,,,,
2025,Total House,360,8370,,,,,,,,,,,,,,
2025,Car Payment,551,6612,,551,551,551,551,551,551,551,551,551,551,551,551,
2025,Insurance (Cars/RV),,700,659,,,,,,,,,,,,,
2025,DMV,,375,251.91,,,,,,,,,,,,,
2025,Total Cars/RV,551,7687,,,,,,,,,,,,,,
2025,Cell Phone,50,600,,50,50,50,50,50,50,50,54,54,54,54,54,
2025,Internet,50,600,,50,50,50,50,50,50,50,50,50,50,50,50,
2025,Streaming Services,120,1440,,119.29,119.29,119.29,119.29,119.29,135.75,127.33,131.76,131.77,127.23,127.23,144.21,
2025,Total Communications,250,3000,,,,,,,,,,,,,,
2025,Food,500,6000,,215.12,214.38,382.5,138.37,530.9,246.39,296.59,312.49,215.19,364.78,302.24,397.36,
2025,Entertainment,500,6000,,123.36,423.8,237.24,146.5,301.08,168.85,214.72,493.76,239.24,228.21,661.96,642.52,
2025,Gas,100,1500,,139.46,115.36,191.36,93.18,189.12,163.8,179.66,228.64,139.3,184.56,154.9,131.59,
2025,Home,100,1200,,0,35.15,18.74,0,10.58,39.06,31.14,0,20.36,21.18,0,0,
2025,Misc,500,6000,,424.38,464.84,344.58,301.79,920,327.4,809.18,205.6,403.29,204.32,292.57,239.81,
2025,Total Living,1700,20700,,,,,,,,,,,,,,
2025,Total Expenses,2861,39757,,,,,,,,,,,,,,
